"ResultId","WordLength","Date","Journal","Risk","Year","Focus","Facts.Causes","Facts.Mitigation","Facts.Populations","Framing.Causes","Framing.Mitigation","Framing.Solutions","Framing.Populations","Sentiment","Threat","Demographics"
"urn:contentItem:3XYT-WM20-00RP-K3HJ-00000-00",1211,"1999-11-26 00:00:00+00:00","New York Times","Homocide",1999,"Not at all","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Mostly collective","0","1",""
"urn:contentItem:3WBK-YH20-007F-G2H2-00000-00",431,"1999-04-28 00:00:00+00:00","New York Times","Homocide",1999,"Mentions once","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","0","1",""
"urn:contentItem:3VKS-SGK0-00C6-D0Y3-00000-00",647,"1999-01-20 00:00:00+00:00","USA Today","Homocide",1999,"Mentions once","Not mentioned and not implied","['Policy', 'Community solutions']","Not mentioned and not implied","Not mentioned and not implied","80","100","Only collective","5","3",""
"urn:contentItem:3WNF-VHR0-000W-62RN-00000-00",458,"1999-06-08 00:00:00+00:00","Tampa Bay Times","Homocide",1999,"Mentions once","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Only collective","-8","9",""
"urn:contentItem:3VYH-M1V0-007F-G1JR-00000-00",166,"1999-03-07 00:00:00+00:00","New York Times","Homocide",1999,"Mostly","Environmental","Policy","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Mostly individual","-9","9",""
"urn:contentItem:41HK-2VH0-000W-62VS-00000-00",948,"2000-10-27 00:00:00+00:00","Tampa Bay Times","Homocide",2000,"Mentions once","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Both","0 Neutral","1 Not at all",""
"urn:contentItem:41GN-F9T0-00J2-31SJ-00000-00",319,"2000-10-21 00:00:00+00:00","Star Tribune","Homocide",2000,"Mostly","['Lifestyle']","['Not mentioned and not implied']","['Race = Native American', 'Gender = male', 'Age = young-adult']","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Mostly individual","-8","9",""
"urn:contentItem:40NK-FB60-00MH-F3GH-00000-00",702,"2000-07-07 00:00:00+00:00","New York Times","Homocide",2000,"Mostly","Environmental","Policy, Community solutions","{'Gender': 'male', 'Age': 'young-adult'}","Not mentioned and not implied","60","60","Mostly individual","-9","9",""
"urn:contentItem:40R3-5R40-00MH-F0RW-00000-00",2176,"2000-07-14 00:00:00+00:00","New York Times","Homocide",2000,"Not at all","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","0","1",""
"urn:contentItem:41HT-1W70-000W-632M-00000-00",731,"2000-10-28 00:00:00+00:00","Tampa Bay Times","Homocide",2000,"Mentions once","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Mostly individual","0","1",""
"urn:contentItem:44S5-BSP0-010F-K3MX-00000-00",446,"2001-12-26 00:00:00+00:00","USA Today","Homocide",2001,"Slightly","Not mentioned and not implied","['Policy']","Not mentioned and not implied","Not mentioned and not implied","80","90","Mostly collective","-8","8",""
"urn:contentItem:443J-4230-0109-T2PT-00000-00",521,"2001-09-30 00:00:00+00:00","New York Times","Homocide",2001,"Mentions once","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Only collective","-8","7",""
"urn:contentItem:438Y-C9C0-0109-T2JD-00000-00",561,"2001-06-16 00:00:00+00:00","New York Times","Homocide",2001,"Mentions once","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Mostly individual","-5","8",""
"urn:contentItem:44MP-WV60-00J2-32YG-00000-00",90,"2001-12-08 00:00:00+00:00","Star Tribune","Homocide",2001,"Mentions once","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Both","-8","7",""
"urn:contentItem:4321-9500-010G-13YH-00000-00",652,"2001-05-05 00:00:00+00:00","Tampa Bay Times","Homocide",2001,"Entirely","Lifestyle","Policy","{'Age': 'young-adult', 'Gender': 'male', 'SES': 'Not mentioned and not implied', 'Race': 'Not mentioned and not implied'}","50","80","0","Mostly individual","-8","9",""
"urn:contentItem:46MS-JJH0-01CN-H50J-00000-00",240,"2002-08-30 00:00:00+00:00","New York Times","Homocide",2002,"Slightly","Not mentioned and not implied","Not mentioned and not implied","Demographics of person with health risk or at-risk populations","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Mostly individual","-8","8","[{'Race': 'unspecified', 'Gender': 'male', 'Age': 'Adult', 'SES': 'unspecified'}]"
"urn:contentItem:45WR-N3C0-01DF-Y34B-00000-00",295,"2002-05-23 00:00:00+00:00","Tampa Bay Times","Homocide",2002,"Mostly","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Not mentioned and not implied","Mostly individual","-10","10",""
"urn:contentItem:46BY-J3F0-010F-K297-00000-00",991,"2002-07-24 00:00:00+00:00","USA Today","Homocide",2002,"Mentions once","Not mentioned and not implied","Innovations/Technology, Policy","Not mentioned and not implied","Not mentioned and not implied","80","90","Mostly collective","0","2",""
"urn:contentItem:4593-TGF0-010G-14XS-00000-00",407,"2002-02-24 00:00:00+00:00","Tampa Bay Times","Homocide",2002,"Mostly","Lifestyle","Not mentioned and not implied","{'Age': 'young-adult'}","60","Not mentioned and not implied","Not mentioned and not implied","Mostly individual","-8","9",""
