"Date","Risk","media_mentions","media_mentions_windsor","log_media_mentions","log_media_mentions_windsor","dd_media_mentions","dd_media_mentions_windsor","dd_log_media_mentions","dd_log_media_mentions_windsor","Deaths","Deaths_windsor","log_Deaths","log_Deaths_windsor","dd_Deaths","dd_Deaths_windsor","dd_log_Deaths","dd_log_Deaths_windsor"
"1999-01-01","Alzheimers",72,72,4.27666611901606,4.27666611901606,NA,NA,NA,NA,4586,4586,8.43076346341785,8.43076346341785,NA,NA,NA,NA
"1999-01-01","Cancer",527,527,6.26720054854136,6.26720054854136,NA,NA,NA,NA,48105,48105,10.7811414007954,10.7811414007954,NA,NA,NA,NA
"1999-01-01","COVID-19",48,48,3.87120101090789,3.87120101090789,NA,NA,NA,NA,0,0,-Inf,-Inf,NA,NA,NA,NA
"1999-01-01","Diabetes",64,64,4.15888308335967,4.15888308335967,NA,NA,NA,NA,6561,6561,8.78889830934488,8.78889830934488,NA,NA,NA,NA
"1999-01-01","Heart",177,177,5.17614973257383,5.17614973257383,NA,NA,NA,NA,77210,74997.22,11.2542842613029,11.2252063251648,NA,NA,NA,NA
"1999-01-01","Homicide",569,569,6.34388043412633,6.34388043412633,NA,NA,NA,NA,1482,1482,7.30114780585603,7.30114780585603,NA,NA,NA,NA
"1999-01-01","Influenza",79,79,4.36944785246702,4.36944785246702,NA,NA,NA,NA,7276,7276,8.89233653963801,8.89233653963801,NA,NA,NA,NA
"1999-01-01","Overdose",122,122,4.80402104473326,4.80402104473326,NA,NA,NA,NA,1328,1328,7.19142933003638,7.19142933003638,NA,NA,NA,NA
"1999-01-01","Respiratory Diseases",56,56,4.02535169073515,4.02535169073515,NA,NA,NA,NA,13148,13148,9.48402493478411,9.48402493478411,NA,NA,NA,NA
"1999-01-01","STDs",188,188,5.23644196282995,5.23644196282995,NA,NA,NA,NA,1332,1317.51,7.19443685110033,7.18349887051954,NA,NA,NA,NA
"1999-01-01","Stroke",136,136,4.91265488573605,4.91265488573605,NA,NA,NA,NA,16628,16130.85,9.71884330037253,9.68848886656902,NA,NA,NA,NA
"1999-01-01","Suicide",168,168,5.12396397940326,5.12396397940326,NA,NA,NA,NA,2498,2498,7.82324569068552,7.82324569068552,NA,NA,NA,NA
"1999-01-01","Terrorism",134,134,4.89783979995091,4.89783979995091,NA,NA,NA,NA,0,0,-Inf,-Inf,NA,NA,NA,NA
"1999-01-01","Traffic Accidents",128,128,4.85203026391962,4.85203026391962,NA,NA,NA,NA,3234,3234,8.08147504013705,8.08147504013705,NA,NA,NA,NA
"1999-02-01","Alzheimers",62,62,4.12713438504509,4.12713438504509,0.378968253968267,0.378968253968253,-0.0568694909111329,-0.0568694909111329,3881,3881,8.26384813136891,8.26384813136891,324.121031746032,262.813095238095,-0.0361501776625825,-0.0409786721547007
"1999-02-01","Cancer",534,534,6.2803958389602,6.2803958389602,37.047619047619,36.7371428571429,0.080559174462743,0.079722875991231,43816,43816,10.6877543264636,10.6877543264636,418.539682539682,290.185873015878,0.00537928063633331,0.00264175620692519
